source,image,proposals,final_instances,sam2_selected,coarse_selected,watershed_selected,universal_boundary_selected,cellpose_style_selected,separator_selected,external_selected,separator_generated,separator_before_ranker,separator_after_ranker,separator_after_set_selector,separator_after_merge,proposals_before_ranker,proposals_after_ranker,proposals_after_set_selector,proposals_after_merge,ranked_proposals,final_pred_n,final_gt_n,final_dice,final_binary_iou,final_pq,final_sq,final_rq,final_aji,final_precision,final_recall,final_f1,final_tp,final_fp,final_fn
pannuke,pannuke_fold1_1043.png,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,0.6858094973618439,0.5218493787507396,0.5377630426528606,0.789839468896389,0.6808510638297872,0.4786072103145274,0.64,0.7272727272727273,0.6808510638297872,16,9,6
pannuke,pannuke_fold1_1044.png,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0.6600890596350302,0.4926365176593249,0.4562385855494319,0.7673103484240446,0.5945945945945946,0.42220290574941016,0.5789473684210527,0.6111111111111112,0.5945945945945946,11,8,7
pannuke,pannuke_fold1_1045.png,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,0.8873387733614109,0.7974923113319139,0.5564828288966212,0.8493685283158955,0.6551724137931034,0.7191990044122638,0.6129032258064516,0.7037037037037037,0.6551724137931034,19,12,8
pannuke,pannuke_fold1_1046.png,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,24,0.6844362745098039,0.52026082906381,0.2542595941512311,0.7049925110556863,0.36065573770491804,0.2645561213194598,0.2972972972972973,0.4583333333333333,0.36065573770491804,11,26,13
pannuke,pannuke_fold1_1047.png,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,0.7706668457457525,0.6268982847153939,0.5531031004218169,0.7927811106046041,0.6976744186046512,0.501260207682226,0.625,0.7894736842105263,0.6976744186046512,15,9,4
pannuke,pannuke_fold1_1048.png,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,0.7845977490621092,0.6455457429477836,0.525348275135725,0.853690947095553,0.6153846153846154,0.5638852672750978,0.6666666666666666,0.5714285714285714,0.6153846153846154,12,6,9
pannuke,pannuke_fold1_1049.png,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0.986785899636712,0.9739164696611505,0.8956716766162796,0.9540850468303846,0.9387755102040817,0.9675595004320163,0.9583333333333334,0.92,0.9387755102040817,23,1,2
pannuke,pannuke_fold1_105.png,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,0.8563378076938128,0.748768135778812,0.6966695684497639,0.790452010356463,0.8813559322033898,0.6977609461165372,0.9285714285714286,0.8387096774193549,0.8813559322033898,26,2,5
pannuke,pannuke_fold1_1050.png,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,0.7661552080259664,0.6209494200645701,0.4806237355355294,0.827740877866745,0.5806451612903226,0.4253719573103412,0.5294117647058824,0.6428571428571429,0.5806451612903226,18,16,10
pannuke,pannuke_fold1_1051.png,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0.7183125599232982,0.5604428485936565,0.4732863575220108,0.7281328577261704,0.65,0.407557354925776,0.6842105263157895,0.6190476190476191,0.65,13,6,8
pannuke,pannuke_fold1_1052.png,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,0.7480030429821225,0.5974479720492177,0.5176819514255134,0.7046226561069489,0.7346938775510204,0.5165849437554081,0.72,0.75,0.7346938775510204,18,7,6
pannuke,pannuke_fold1_1053.png,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0.9603399433427762,0.9237057220708447,0.6628998027128332,0.9391080538431803,0.7058823529411765,0.6643092880716643,0.6666666666666666,0.75,0.7058823529411765,6,3,2
pannuke,pannuke_fold1_1054.png,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,0.8069170269284859,0.6763293460228761,0.5295673459768295,0.7943510189652443,0.6666666666666666,0.5639459107201042,0.6956521739130435,0.64,0.6666666666666666,16,7,9
